trial,label,response,outcome,rt_from_appearance,rt_from_inner_boundary,response_phase
105,SEAGULL,THREAT,GULL_MISS,0.5440000000000004,,outer
106,SEAGULL,SEAGULL,GULL_HIT,0.085,,outer
107,THREAT,SEAGULL,GULL_FALSE_ALARM,0.5600000000000003,,outer
108,SAFE,SAFE,CORRECT_REJECT,0.4930000000000003,,outer
109,THREAT,THREAT,HIT,0.4420000000000003,,outer
110,THREAT,SAFE,MISS,0.42500000000000027,,outer
111,SAFE,SAFE,CORRECT_REJECT,0.8510000000000005,,outer
112,SAFE,SAFE,CORRECT_REJECT,0.7650000000000006,,outer
113,THREAT,SAFE,MISS,0.7480000000000006,,outer
114,THREAT,SAFE,MISS,0.7480000000000006,,outer
115,THREAT,THREAT,HIT,0.7820000000000006,,outer
116,THREAT,THREAT,HIT,0.6290000000000004,,outer
117,SAFE,THREAT,FALSE_ALARM,0.8500000000000006,,outer
118,SEAGULL,SEAGULL,GULL_HIT,0.6980000000000005,,outer
119,SAFE,SAFE,CORRECT_REJECT,0.6640000000000005,,outer
120,THREAT,THREAT,HIT,0.4920000000000003,,outer
121,THREAT,SAFE,MISS,0.4920000000000003,,outer
122,THREAT,THREAT,HIT,0.40800000000000025,,outer
123,THREAT,,NR,,,inner
